task_id,fuzzing_duration,timestamp,offsets,execution_num,crash_num,time
1,86400,2025-05-30T20:17:06.198548+00:00,185848,1175,1,1345000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187771,187796",1335,1,1458000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"260287,260348,260261,260255,260250",1446,2,2151000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"169056,161107,261294,260607,169365,182384,169255,261255,169636,161081,260565,260708,260517,175347,260538,264816,264838,169167,169189,260454,169853,260416,169321,169277,160939,175008,260574,182469,169233,161049,169211,169145,260464,161115,264800,161058,175147,175156,264813,169343,160992,260501,161121,168415,169299,161072,260546,175120,168400,160936,175095,168424,260577,260647,260653,169820,160800,260593,169123,170777,170779",2126,2,2175000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187649,187674",2150,2,2313000.0
1,86400,2025-05-30T20:17:06.198548+00:00,260796,2288,2,2404000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"260726,261323",2380,2,2643000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"175181,175068",2617,2,2704000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"189723,189712,188079,192142,189739",2677,2,2783000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263182,2758,2,2897000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"182449,260532,182393,260638,182406",2867,2,2941000.0
1,86400,2025-05-30T20:17:06.198548+00:00,262817,2913,2,3110000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"182434,182440,182421",3080,2,3245000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"186808,186776,186667,186754,186896,186709,186643,186798,186778,186638",3212,2,4544000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"169593,169409,162000,162050,169611,169024,169528,169039,169387,169048,162056",4495,2,5954000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"264821,264826",5890,2,6022000.0
1,86400,2025-05-30T20:17:06.198548+00:00,182438,5955,2,6046000.0
1,86400,2025-05-30T20:17:06.198548+00:00,187154,5978,2,6423000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187268,187265",6339,2,6525000.0
1,86400,2025-05-30T20:17:06.198548+00:00,191343,6437,3,10875000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263498,263585,263558,263485,263503,263479,263569,263536",10647,3,11265000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263212,263241,263203,263250",11020,3,13877000.0
1,86400,2025-05-30T20:17:06.198548+00:00,187776,13505,3,14148000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263142,13761,3,14370000.0
1,86400,2025-05-30T20:17:06.198548+00:00,187181,13975,3,14846000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187305,187284,187857",14426,3,15130000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263513,263523,263508",14695,3,18444000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263574,263590,263595",17752,3,18836000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263528,18107,3,18850000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263563,18121,3,19405000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"184144,184671,184667,185886",18622,3,19568000.0
1,86400,2025-05-30T20:17:06.198548+00:00,231169,18775,4,26120000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263132,24484,4,30352000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263919,27970,4,34196000.0
1,86400,2025-05-30T20:17:06.198548+00:00,192845,31020,4,44396000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263533,38759,4,49978000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263162,42848,4,49993000.0
1,86400,2025-05-30T20:17:06.198548+00:00,263518,42858,6,74856000.0
1,86400,2025-05-30T20:17:06.198548+00:00,187826,60195,6,
2,86401,2025-05-30T20:16:56.465879+00:00,,0,0,39000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"107948,108069,107994,107978,108013,75013,75006,183808,108066,108052,183838,108036,107971,74986,181332,75048,75477,108022,108001,187032,108007,107888,183870,108055,108029,74851,183847,107651",1,0,55000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"106926,106917",2,0,118000.0
2,86401,2025-05-30T20:16:56.465879+00:00,182082,6,0,132000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"264319,183968,183955,183989,110554,264148,264286,183932,183992",7,0,176000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"264069,178652,178708,356304,178676,354445,178622,178592,178739,354449,178764,330912,350463,263800,178609,178737,161818,178663",10,0,201000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"192799,191389,107783,261109,191428,191312,107955,185473",12,0,214000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"182480,185957,187077,184018,185695,182542,185635,187072,185986,182504,185970,185654,185596,185568,184095,182497,184048,185504,187056,184080,182517,182522,184073,182541",13,0,301000.0
2,86401,2025-05-30T20:16:56.465879+00:00,192790,17,0,324000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"439203,439904,438482,439103,374373,438406,441143,438838,441276,439743,439635,438821,438985,441389,440883,438794,441294,374347,438421,374361,374632,441422,439128,438997,439094,441210,441385,440718,441288,438500,439807,440248,440026,441291,438497,439632,438627,441146,441192,440871,439701,441140,441246,438720,438711,374356,374320,439694,441066,438591,441347,441055,439864,438924,440227,441218,440019,438494,440730,441366,439182,441048,439629,439800,374459,439610,439276,439003,187343,441128,439883,440740,439000,441340,374634,439683,438873,441453,440716,441199,439324,438880,438598,439252,440893,439216,374471,438697,441358,438928,374338,440886,441079,441098,439989,439991,439860",18,0,337000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"192173,192202,110263,192023,192186,192158,191323,192016,264249,191333,191367,191359",19,0,391000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"185457,185470,185426",22,0,403000.0
2,86401,2025-05-30T20:16:56.465879+00:00,184857,23,0,439000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"181408,264904",26,0,494000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"190064,329579",30,0,507000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"187613,187588",31,0,591000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"185757,185799,185748",37,0,643000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"162050,169387,162056,169048,169593,162000,169611,169528,169024,169039,169409",41,0,766000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"100440,100459",50,0,830000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"181663,262800",55,0,919000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"192781,192776",62,0,1012000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"496806,374647,374649,496801,496793",69,0,1079000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"186299,186138,186220,186226,186251,186163,185719,185918,186316,186320,186357,186186,186272,186868,186016,185914,186179,186193,186079,186171,185934,186038,186306,186088,186198,186218",74,0,1133000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"188074,188069",78,0,1264000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"262936,263384,262950,194176,263321,262976",88,0,1368000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"740967,559634,752521,740532,740784,559673,752288,741494,740000,741488,740085,740184,741443,740210,740319,740273,741528,741510,740875,741520,740075,740257,752506,741326,579638,740159,751831,559600,751821,752611,559690,752196,751867,740347,740949,752107,740175,740048,741336,740191,740444,752228,752307,752553,752494,752559,752417,740975,740487,752430,740511,740205,740154,741455,741502,741463,752113,741506",96,0,1475000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"503645,503253,503616,503362,503531,503448,495634,503275",104,0,1656000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"263118,263099,263125",117,0,1802000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"182440,182421,182434",128,0,2244000.0
2,86401,2025-05-30T20:16:56.465879+00:00,504094,162,0,2501000.0
2,86401,2025-05-30T20:16:56.465879+00:00,261218,183,0,3066000.0
2,86401,2025-05-30T20:16:56.465879+00:00,110146,224,0,4172000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"262841,262601",308,0,4658000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"186407,186455,186482",340,0,4743000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"186475,186504,186550,186506,186529,186619,161958,263876,263919,263938,264043,260647,263842,182469,263850",346,0,4908000.0
2,86401,2025-05-30T20:16:56.465879+00:00,262913,358,0,7270000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"180286,180330",538,0,7853000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"495175,499007,499091,496825,498996,499013,499046,496839,499071,498967,499119,498979,499140,499097",581,0,8199000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"182438,503186",607,0,11490000.0
